product_page_url*	universal_product_code(upc)*	title*	price_including_tax*	price_excluding_tax*	number_available*	product_description*	category*	review_rating*	image_url*	
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html*	90fa61229261140a*	Tipping the Velvet*	Â£53.74*	Â£53.74*	3*	ets*	HistoricalFiction*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html*	9beb96a2300109d7*	Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton*	Â£29.69*	Â£29.69*	3*	ets*	HistoricalFiction*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html*	3a6fb983e2554023*	A Flight of Arrows (The Pathfinders #2)*	Â£55.53*	Â£55.53*	3*	ets*	HistoricalFiction*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html*	9287e238d7c3b06e*	The House by the Lake*	Â£36.95*	Â£36.95*	3*	ets*	HistoricalFiction*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/mrs-houdini_821/index.html*	a40723994f715420*	Mrs. Houdini*	Â£30.25*	Â£30.25*	3*	ets*	HistoricalFiction*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html*	52cf2a5933ec5d8f*	The Marriage of Opposites*	Â£28.08*	Â£28.08*	3*	ets*	HistoricalFiction*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html*	de4b403cb629a29f*	Glory over Everything: Beyond The Kitchen House*	Â£45.84*	Â£45.84*	3*	ets*	HistoricalFiction*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html*	9546d537fbf99eb6*	Love, Lies and Spies*	Â£20.55*	Â£20.55*	3*	ets*	HistoricalFiction*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html*	63343e287971bb0c*	A Paris Apartment*	Â£39.01*	Â£39.01*	3*	ets*	HistoricalFiction*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/lilac-girls_597/index.html*	bade9943ee01b63f*	Lilac Girls*	Â£17.28*	Â£17.28*	3*	ets*	HistoricalFiction*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html*	24933c712f0bca2f*	The Constant Princess (The Tudor Court #1)*	Â£16.62*	Â£16.62*	3*	ets*	HistoricalFiction*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html*	e6635f5b0a2c78db*	The Invention of Wings*	Â£37.34*	Â£37.34*	3*	ets*	HistoricalFiction*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html*	2e5b4ff08a75fd02*	World Without End (The Pillars of the Earth #2)*	Â£32.97*	Â£32.97*	3*	ets*	HistoricalFiction*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html*	011674f4a3834b8d*	The Passion of Dolssa*	Â£28.32*	Â£28.32*	3*	ets*	HistoricalFiction*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html*	5eff05e59f905a49*	Girl With a Pearl Earring*	Â£26.77*	Â£26.77*	3*	ets*	HistoricalFiction*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html*	7feac4000cbc5859*	Voyager (Outlander #3)*	Â£21.07*	Â£21.07*	3*	ets*	HistoricalFiction*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-red-tent_273/index.html*	3c456328b04a8ee8*	The Red Tent*	Â£35.66*	Â£35.66*	3*	ets*	HistoricalFiction*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html*	476c7972e9b41891*	The Last Painting of Sara de Vos*	Â£55.55*	Â£55.55*	3*	ets*	HistoricalFiction*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html*	4a0a276409968a73*	The Guernsey Literary and Potato Peel Pie Society*	Â£49.53*	Â£49.53*	3*	ets*	HistoricalFiction*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html*	41fc5dce044f16f5*	Girl in the Blue Coat*	Â£46.83*	Â£46.83*	3*	ets*	HistoricalFiction*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
