product_page_url*	universal_product_code(upc)*	title*	price_including_tax*	price_excluding_tax*	number_available*	product_description*	category*	review_rating*	image_url*	
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html*	3b1c02bac2a429e6*	Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)*	Â£52.29*	Â£52.29*	3*	ets*	SequentialArt*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html*	09555be379ad9253*	Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)*	Â£16.28*	Â£16.28*	3*	ets*	SequentialArt*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/this-one-summer_947/index.html*	51653ef291ab7ddc*	This One Summer*	Â£19.49*	Â£19.49*	3*	ets*	SequentialArt*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html*	7d385d34d12e60ff*	The Nameless City (The Nameless City #1)*	Â£38.16*	Â£38.16*	3*	ets*	SequentialArt*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html*	53a3d11bb568cc8b*	Saga, Volume 5 (Saga (Collected Editions) #5)*	Â£51.04*	Â£51.04*	3*	ets*	SequentialArt*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html*	c82a3e358c773c73*	Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)*	Â£50.40*	Â£50.40*	3*	ets*	SequentialArt*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html*	0fa6dceead7ce47a*	Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)*	Â£13.61*	Â£13.61*	3*	ets*	SequentialArt*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html*	e80f8e518b300dfe*	Pop Gun War, Volume 1: Gift*	Â£18.97*	Â£18.97*	3*	ets*	SequentialArt*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/patience_916/index.html*	9429b4d59c537af5*	Patience*	Â£10.16*	Â£10.16*	3*	ets*	SequentialArt*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html*	889139b8e9c4cb36*	Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)*	Â£15.44*	Â£15.44*	3*	ets*	SequentialArt*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html*	11809b1d323b3057*	orange: The Complete Collection 1 (orange: The Complete Collection #1)*	Â£48.41*	Â£48.41*	3*	ets*	SequentialArt*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html*	460089f796fb3f82*	Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)*	Â£46.91*	Â£46.91*	3*	ets*	SequentialArt*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html*	b6ee99bcf06fc91f*	Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)*	Â£45.61*	Â£45.61*	3*	ets*	SequentialArt*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html*	57e5a4d515c8ce44*	Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)*	Â£19.92*	Â£19.92*	3*	ets*	SequentialArt*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html*	8d4eefad7a2b3915*	I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)*	Â£29.17*	Â£29.17*	3*	ets*	SequentialArt*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html*	1c89ae5bb804e4de*	I am a Hero Omnibus Volume 1*	Â£54.63*	Â£54.63*	3*	ets*	SequentialArt*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html*	f2df3bb043a8abb0*	Giant Days, Vol. 2 (Giant Days #5-8)*	Â£22.11*	Â£22.11*	3*	ets*	SequentialArt*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html*	09b6cc87e62c2c58*	Danganronpa Volume 1*	Â£51.99*	Â£51.99*	3*	ets*	SequentialArt*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html*	8754c83ab2a7ae71*	Codename Baboushka, Volume 1: The Conclave of Death*	Â£36.72*	Â£36.72*	3*	ets*	SequentialArt*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/camp-midnight_886/index.html*	7b599c8bfcdd8d30*	Camp Midnight*	Â£17.08*	Â£17.08*	3*	ets*	SequentialArt*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
